以house_开头的为柯涅尔工房,以forest_开头的为编织者之森

house_road,正门前
house_center,庭院
house_shop,杂货店
house_hall,厨房
house_noelroom,自己的房间
house_atelier,姐姐的工房
house_barn,后院
house_cliff,墓地
house_lake,血池
house_cliff_cave,强化插槽
house_puzzle_cliffcave,双重闪避
house_cave2forest,鸟笼左侧
house_theroom,休息室

forest_01,穿林日光之庭
forest_athletic_thorn_under,鸟笼
forest_tomato,鲜血镇压者
forest_cliff_portal,暗夜帷幕
forest_mushpot,孢子舞台
forest_tikuwar,卑鄙的后勤兵
forest_toybox,盗掘者
forest_wood_slash,飞瀑悬窟
forest_swamp,蛊惑之沼
forest_senzyo2cliff,遛狗公园
forest_wind_senzyo,沐风中庭
forest_senzyo,土龙巢穴

forest_rwood_column,古驿夜宴
forest_darkpot,黄昏骤雨
forest_wood_right_exit,空中回廊
forest_treecrack,裂隙看守者
forest_geckoland,笼中余祸
forest_coroseum,迷途者
forest_nightacid,酸池深渊
forest_wood_hall,酸木前餐
forest_darkpotu,匣中恶魔
forest_mush_narrow,小心头顶
forest_buibui,旋转木马
forest_toylabo,装配实验间

forest_wood_nightlake,湖面蜃景
forest_clocktower,机关人偶
forest_mush_coroseum,菌丝之王
forest_acid_lake,酸湖下的猬鼠
forest_foxhall,炎舞神乐
forest_coroseum_frog,欲壑与泥潭
forest_nusi_coroseum,森之领主

forest_puzzle_worms,旋风斩击
forest_athletic_tikuwafall,彗星俯冲
forest_puzzle_mesher,突进冲击
forest_wind_thorn,凌空横斩
forest_puzzle_water,护盾冲击
forest_athletic_thunder_wood,环轨护盾

forest_darkpot_r,血之虹瞳
forest_puzzle_water2,抓地鞋
forest_wood_hall,超载咏唱
forest_puzzle_timer,猫之缓降
forest_puzzle_hame,盗垒滑步
forest_box_puzzle,祈雨御守
forest_puzzle_burnivy,恐高症
forest_athletic_ladder,藏巧守拙
forest_coroseum,长法杖
forest_frog_pre,濡湿预兆

forest_puzzle_ctop,金币+100
forest_puzzle_ct,强化插槽
forest_sea,过充插槽
forest_tc,土蛇左侧HP
forest_senzyort,土蛇右侧HP
forest_presser_mine,巨人右侧HP
forest_wood_extender_puzzle,木马下方HP
forest_ruin_hall,瓦罗斯左侧HP
forest_lava_secret,清水MP+20
forest_burst_treasure,圣光爆发

forest_ruin_station,阿尔玛同学
forest_ruin_road,阿尔玛右侧
forest_hirobau,暗夜帷幕左侧
forest_athletic_tikuwa_thorn,孢子舞台左下
forest_secret_lake,初始清水
forest_secr_in,初始清水右侧
forest_hiroba,大桥和矿洞
forest_ostrea_swampt,蛊惑之沼上方
forest_column,护盾冲击右侧
forest_acid_dobadoba,彗星俯冲上方
forest_satoentrance,精灵之村入口
forest_wood_wip,空中回廊右侧
forest_wood_rcolumn,空中回廊左侧
forest_rt_lavaroad,恐高症左侧
forest_c,裂隙看守者左侧
forest_01t,沐风中庭下方
forest_ahletic_home_thorn,鸟笼上方
forest_ahletic_tikuwa,鸟笼右下
forest_nusi_right,森之领主右侧
forest_nusi_pre,森之领主左侧
forest_roft_wind,上层横风场
forest_entrance_grazia,圣光爆发上方
forest_wood_cross,酸木前餐上方
forest_senzyot,土龙巢穴上方
forest_ruin_station_r,瓦罗斯施工现场
forest_thunder_dancing,小心头顶右下
forest_lava_coming,小心头顶左侧
forest_wood_matoate,旋转木马右侧
forest_falltemp,炎舞神乐上方
forest_foxhall_pre,炎舞神乐左侧
forest_frog_left,欲壑与泥潭左侧
forest_toylabo_pre,装配实验间左侧
